"ID","Organism.Name","Strain","BioSample","BioProject","Assembly","GenBank.FTP"
140,"Streptomyces celluloflavus","NRRL B-2493","SAMN02645237 ","PRJNA238534","GCA_000720995.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/995/GCA_000720995.1_ASM72099v1"
141,"Streptomyces cellulosae","NRRL B-2687","SAMN02645247 ","PRJNA238534","GCA_000721105.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/105/GCA_000721105.1_ASM72110v1"
142,"Streptomyces griseolus","NRRL B-2925","SAMN02645254 ","PRJNA238534","GCA_000721185.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/185/GCA_000721185.1_ASM72118v1"
143,"Streptomyces avellaneus","NRRL B-3447","SAMN02645262 ","PRJNA238534","GCA_000721255.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/255/GCA_000721255.1_ASM72125v1"
144,"Streptomyces mediolani","NRRL WC-3934","SAMN02645531 ","PRJNA238534","GCA_000721685.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/685/GCA_000721685.1_ASM72168v1"
145,"Streptomyces durhamensis","NRRL B-3309","SAMN02645292 ","PRJNA238534","GCA_000725475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/475/GCA_000725475.1_Doro.v1.0"
146,"Streptomyces toyocaensis","NRRL 15009","SAMN02649413 ","PRJNA239004","GCA_000725125.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/125/GCA_000725125.1_ASM72512v1"
147,"Streptomyces flavovariabilis","NRRL B-16367","SAMN02645208 ","PRJNA238534","GCA_000725785.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/785/GCA_000725785.1_Doro.v1.0"
148,"Streptomyces seoulensis","NRRL B-24310","SAMN02645290 ","PRJNA238534","GCA_000725795.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/795/GCA_000725795.1_Doro.v1.0"
149,"Streptomyces erythrochromogenes","NRRL B-2112","SAMN02645335 ","PRJNA238534","GCA_000725555.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/555/GCA_000725555.1_Doro.v1.0"
150,"Streptomyces xanthophaeus","NRRL B-5414","SAMN02645271 ","PRJNA238534","GCA_000725805.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/805/GCA_000725805.1_Doro.v1.0"
151,"Streptomyces aureus","NRRL B-1941","SAMN02645331 ","PRJNA238534","GCA_000725495.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/495/GCA_000725495.1_Doro.v1.0"
152,"Kitasatospora mediocidica KCTC 9733","KCTC 9733","SAMN02745411 ","PRJNA234781","GCA_000744225.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/744/225/GCA_000744225.1_ASM74422v1"
153,"Streptacidiphilus albus JL83","JL83","SAMN02745413 ","PRJNA234786","GCA_000744705.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/744/705/GCA_000744705.1_ASM74470v1"
154,"Kitasatospora azatica KCTC 9699","KCTC 9699","SAMN02745392 ","PRJNA234862","GCA_000744785.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/744/785/GCA_000744785.1_ASM74478v1"
155,"Streptacidiphilus oryzae TH49","TH49","SAMN02745412 ","PRJNA234788","GCA_000744815.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/744/815/GCA_000744815.1_ASM74481v1"
156,"Streptomyces yeochonensis CN732","CN732","SAMN02745173 ","PRJNA234789","GCA_000745345.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/745/345/GCA_000745345.1_ASM74534v1"
157,"Streptomyces atratus","OK008","SAMN02787147 ","PRJNA247516","GCA_000745675.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/745/675/GCA_000745675.1_ASM74567v1"
158,"Streptomyces leeuwenhoekii","C34 (= DSM 42122 = NRRL B-24963)","SAMEA3258058 ","PRJEB8583","GCA_001013905.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/013/905/GCA_001013905.1_sleC34"
159,"Streptomyces glaucescens","GLA.O","SAMN03031338 ","PRJNA260814","GCA_000761215.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/761/215/GCA_000761215.1_ASM76121v1"
160,"Streptomyces galbus","KCCM 41354","SAMN03031363 ","PRJNA259693","GCA_000772895.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/895/GCA_000772895.1_ASM77289v1"
161,"Streptacidiphilus carbonis","NBRC 100919","SAMD00022873 ","PRJDB3297","GCA_000787775.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/775/GCA_000787775.1_ASM78777v1"
162,"Streptacidiphilus jiangxiensis","NBRC 100920","SAMD00022874 ","PRJDB3297","GCA_000787795.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/795/GCA_000787795.1_ASM78779v1"
164,"Streptacidiphilus melanogenes","NBRC 103184","SAMD00022876 ","PRJDB3297","GCA_000787835.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/835/GCA_000787835.1_ASM78783v1"
165,"Streptacidiphilus anmyonensis","NBRC 103185","SAMD00022877 ","PRJDB3297","GCA_000787855.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/855/GCA_000787855.1_ASM78785v1"
166,"Streptomyces xiaopingdaonensis","DUT180","SAMN02469700 ","PRJNA91113","GCA_000262345.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/262/345/GCA_000262345.1_Streptomyces_sulphureus_L180_version_1.0"
167,"Streptomyces pluripotens","MUSC 135","SAMN03070117 ","PRJNA261097","GCA_000802245.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/802/245/GCA_000802245.1_ASM80224v1"
168,"Streptomyces nodosus","ATCC 14899","SAMN03020625 ","PRJNA259817","GCA_000819545.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/819/545/GCA_000819545.1_ASM81954v1"
170,"Streptomyces vietnamensis","GIM4.0001","SAMN02730132 ","PRJNA244969","GCA_000830005.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/005/GCA_000830005.1_ASM83000v1"
171,"Kitasatospora griseola","MF730-N6","SAMN03324877 ","PRJNA274276","GCA_000836635.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/836/635/GCA_000836635.1_ASM83663v1"
172,"Streptomyces cyaneogriseus subsp. noncyanogenus","NMWT 1","SAMN03329629 ","PRJNA274645","GCA_000931445.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/445/GCA_000931445.1_ASM93144v1"
173,"Streptomyces ahygroscopicus subsp. wuyiensis","CK-15","SAMN03276531 ","PRJNA271725","GCA_000935185.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/185/GCA_000935185.2_ASM93518v2"
174,"Streptomyces variegatus","NRRL B-16380","SAMN03323307 ","PRJNA238534","GCA_000955965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/955/965/GCA_000955965.1_ASM95596v1"
176,"Streptomyces europaeiscabiei","NCPPB 4064","SAMN02927995 ","PRJNA255689","GCA_001189025.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/025/GCA_001189025.1_ASM118902v1"
177,"Streptomyces stelliscabiei","P3825","SAMN02927999 ","PRJNA255693","GCA_001189035.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/189/035/GCA_001189035.1_ASM118903v1"
178,"Streptomyces incarnatus","NRRL 8089","SAMN03699512 ","PRJNA284179","GCA_001027185.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/027/185/GCA_001027185.1_ASM102718v1"
179,"Streptomyces roseus","ATCC 31245","SAMN03787768 ","PRJNA287805","GCA_001044425.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/044/425/GCA_001044425.1_ASM104442v1"
180,"Streptomyces roseochromogenus subsp. oscitans DS 12.976","DS 12.976","SAMN02469393 ","PRJNA210150","GCA_000497445.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/445/GCA_000497445.1_S.roseochromogenes_v1"
181,"Streptomyces azureus","ATCC 14921","SAMD00031377 ","PRJDB3912","GCA_001270025.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/025/GCA_001270025.1_Sazu_1.0"
182,"Streptomyces antibioticus","DSM 40234","SAMN04193346 ","PRJNA299224","GCA_001514065.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/065/GCA_001514065.1_ASM151406v1"
183,"Streptomyces caelestis","NRRL B-24567","SAMN02900596 ","PRJNA238534","GCA_001279005.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/279/005/GCA_001279005.1_ASM127900v1"
185,"Streptomyces chattanoogensis","NRRL ISP-5002","SAMN03327492 ","PRJNA238534","GCA_001294335.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/294/335/GCA_001294335.1_ASM129433v1"
190,"Streptomyces misionensis","DSM 40306","SAMN04490357 ","PRJEB16412","GCA_900104815.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/104/815/GCA_900104815.1_IMG-taxon_2634166373_annotated_assembly"
195,"Streptomyces pactum","KLBMP 5084","SAMN05436714 ","PRJNA331053","GCA_001767375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/767/375/GCA_001767375.1_ASM176737v1"
196,"Streptomyces caatingaensis","CMAA 1322","SAMN03837863 ","PRJNA288757","GCA_001187435.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/435/GCA_001187435.1_ASM118743v1"
198,"Streptomyces cyanoalbus","NRRL B-3040","SAMN04003009 ","PRJNA293375","GCA_001418175.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/175/GCA_001418175.1_ASM141817v1"
199,"Streptomyces bambergiensis","NRRL B-12521","SAMN04002974 ","PRJNA293375","GCA_001418165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/165/GCA_001418165.1_ASM141816v1"
200,"Streptomyces atriruber","NRRL B-24165","SAMN04002960 ","PRJNA293375","GCA_001418325.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/325/GCA_001418325.1_ASM141832v1"
201,"Streptomyces alboniger","NRRL B-1832","SAMN04002384 ","PRJNA293375","GCA_001418385.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/385/GCA_001418385.1_ASM141838v1"
203,"Streptomyces hirsutus","NRRL B-2713","SAMN04004080 ","PRJNA293375","GCA_001418415.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/415/GCA_001418415.1_ASM141841v1"
208,"Streptomyces flocculus","NRRL B-2465","SAMN04003993 ","PRJNA293375","GCA_001418505.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/505/GCA_001418505.1_ASM141850v1"
211,"Streptomyces graminilatus","NRRL B-59124","SAMN04003995 ","PRJNA293375","GCA_001418565.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/565/GCA_001418565.1_ASM141856v1"
212,"Streptomyces griseoruber","NRRL B-1818","SAMN04004079 ","PRJNA293375","GCA_001418585.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/585/GCA_001418585.1_ASM141858v1"
215,"Streptomyces silaceus","NRRL B-24166","SAMN04004092 ","PRJNA293375","GCA_001419745.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/419/745/GCA_001419745.1_ASM141974v1"
218,"Streptomyces luridiscabiei","NRRL B-24455","SAMN04004082 ","PRJNA293375","GCA_001418625.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/625/GCA_001418625.1_ASM141862v1"
220,"Streptomyces puniciscabiei","TW1S1","SAMN05520841 ","PRJNA338069","GCA_001735805.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/735/805/GCA_001735805.1_ASM173580v1"
221,"Streptomyces mangrovisoli","MUSC 149","SAMN03451686 ","PRJNA279916","GCA_000974985.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/985/GCA_000974985.2_ASM97498v2"
222,"Streptomyces hokutonensis","R1-NS-10","SAMD00041833 ","PRJDB1072","GCA_000376565.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/376/565/GCA_000376565.1_ASM37656v1"
223,"Streptomyces silvensis","ATCC 53525","SAMN04304558 ","PRJNA304595","GCA_001482415.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/482/415/GCA_001482415.1_ASM148241v1"
224,"Streptomyces yangpuensis","fd2-tb","SAMN03571527 ","PRJNA282566","GCA_001005295.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/005/295/GCA_001005295.1_ASM100529v1"
225,"Streptomyces kanasensis","ZX01","SAMN04285690 ","PRJNA303097","GCA_001484625.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/625/GCA_001484625.1_ASM148462v1"
226,"Streptomyces regalis","NRRL 3151","SAMN03327473 ","PRJNA238534","GCA_001509475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/475/GCA_001509475.1_ASM150947v1"
227,"Streptomyces reticuli","","SAMEA3707210 ","PRJEB10869","GCA_001511815.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/511/815/GCA_001511815.1_TUE45"
228,"Streptomyces curacoi","DSM 40107","SAMN04193339 ","PRJNA299217","GCA_001513975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/975/GCA_001513975.1_ASM151397v1"
229,"Streptomyces phaeopurpureus","DSM 40125","SAMN04193340 ","PRJNA299218","GCA_001513985.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/985/GCA_001513985.1_ASM151398v1"
230,"Streptomyces pseudovenezuelae","DSM 40212","SAMN04193342 ","PRJNA299220","GCA_001513955.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/955/GCA_001513955.1_ASM151395v1"
231,"Streptomyces cellostaticus","DSM 40189","SAMN04193341 ","PRJNA299219","GCA_001513965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/965/GCA_001513965.1_ASM151396v1"
232,"Streptomyces ciscaucasicus","DSM 40275","SAMN04193344 ","PRJNA299222","GCA_001514045.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/045/GCA_001514045.1_ASM151404v1"
233,"Streptomyces corchorusii","DSM 40340","SAMN04193345 ","PRJNA299223","GCA_001514055.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/055/GCA_001514055.1_ASM151405v1"
234,"Streptomyces yokosukanensis","DSM 40224","SAMN04193343 ","PRJNA299221","GCA_001514035.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/035/GCA_001514035.1_ASM151403v1"
235,"Streptomyces olivochromogenes","DSM 40451","SAMN04193347 ","PRJNA299225","GCA_001514115.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/115/GCA_001514115.1_ASM151411v1"
236,"Streptomyces longwoodensis","DSM 41677","SAMN04193348 ","PRJNA299227","GCA_001514125.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/125/GCA_001514125.1_ASM151412v1"
237,"Streptomyces griseorubiginosus","DSM 40469","SAMN04193351 ","PRJNA299230","GCA_001514195.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/195/GCA_001514195.1_ASM151419v1"
238,"Streptomyces bungoensis","DSM 41781","SAMN04193354 ","PRJNA299233","GCA_001514215.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/215/GCA_001514215.1_ASM151421v1"
239,"Streptomyces caeruleatus","NRRL B-24802","SAMN04193355 ","PRJNA299234","GCA_001514235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/235/GCA_001514235.1_ASM151423v1"
240,"Streptomyces specialis","type strain: GW41-1564","SAMEA3696889 ","PRJEB9981","GCA_001493375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/493/375/GCA_001493375.1_Streptomyces_specialis"
241,"Streptomyces griseochromogenes","ATCC 14511","SAMN04375936 ","PRJNA307132","GCA_001542625.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/542/625/GCA_001542625.2_ASM154262v2"
243,"Streptomyces endus","NBRC 12859","SAMD00022818 ","PRJDB3203","GCA_001553475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/475/GCA_001553475.1_ASM155347v1"
244,"Streptomyces sporocinereus","OsiSh-2","SAMN04870507 ","PRJNA318960","GCA_001705785.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/705/785/GCA_001705785.1_ASM170578v1"
246,"Streptomyces parvulus","2297","SAMN04924834 ","PRJNA320204","GCA_001660045.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/045/GCA_001660045.1_ASM166004v1"
247,"Streptomyces rangoonensis","NRRL B-12378","SAMN04004091 ","PRJNA293375","GCA_001661615.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/615/GCA_001661615.1_ASM166161v1"
248,"Streptomyces lincolnensis","NRRL 2936","SAMN05335414 ","PRJNA327477","GCA_001685355.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/355/GCA_001685355.1_ASM168535v1"
249,"Streptomyces mutomycini","NRRL B-65393","SAMN05326639 ","PRJNA293375","GCA_001700505.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/700/505/GCA_001700505.1_ASM170050v1"
250,"Streptomyces lushanensis","NRRL B-24994","SAMN05326726 ","PRJNA293375","GCA_001700515.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/700/515/GCA_001700515.1_ASM170051v1"
252,"Streptomyces sampsonii","KJ40","SAMN04338613 ","PRJNA336086","GCA_001704195.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/195/GCA_001704195.1_ASM170419v1"
253,"Streptomyces noursei ATCC 11455","ATCC 11455","SAMN03287657 ","PRJNA272896","GCA_001704275.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/275/GCA_001704275.1_ASM170427v1"
254,"Streptomyces sparsogenes","ATCC 25498","SAMN05366068 ","PRJNA328181","GCA_001704635.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/635/GCA_001704635.1_ASM170463v1"
255,"Streptomyces malaysiense","MUSC 136","SAMN03445833 ","PRJNA278503","GCA_000980885.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/980/885/GCA_000980885.2_ASM98088v2"
256,"Streptomyces agglomeratus","6-3-2","SAMN04277419 ","PRJNA302687","GCA_001746415.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/415/GCA_001746415.1_ASM174641v1"
258,"Streptomyces humi","MUSC 119","SAMN03465092 ","PRJNA280559","GCA_001005085.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/005/085/GCA_001005085.2_ASM100508v2"
259,"Streptomyces luteocolor","NBRC 13826","SAMD00027180 ","PRJDB3578","GCA_001748305.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/748/305/GCA_001748305.1_ASM174830v1"
260,"Streptomyces subrutilus","10-1-1","SAMN05631079 ","PRJNA340062","GCA_001746425.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/425/GCA_001746425.1_ASM174642v1"
261,"Streptomyces rubrolavendulae","MJM4426","SAMN04595356 ","PRJNA317020","GCA_001750785.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/750/785/GCA_001750785.1_ASM175078v1"
262,"Streptomyces oceani","SCSIO 02100","SAMN04026263 ","PRJNA242488","GCA_001751245.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/751/245/GCA_001751245.1_ASM175124v1"
263,"Streptomyces nanshensis","SCSIO 10429","SAMN04026265 ","PRJNA242488","GCA_001751255.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/751/255/GCA_001751255.1_ASM175125v1"
264,"Streptomyces abyssalis","SCSIO 10389","SAMN04026261 ","PRJNA242488","GCA_001751345.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/751/345/GCA_001751345.1_ASM175134v1"
265,"Streptomyces luteus","TRM 45540","SAMN02803977 ","PRJNA248928","GCA_000739045.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/045/GCA_000739045.1_ASM73904v1"
268,"Streptomyces qinglanensis","SCSIO M10379","SAMN04026264 ","PRJNA242488","GCA_001751375.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/751/375/GCA_001751375.1_ASM175137v1"
269,"Streptomyces paucisporeus","CGMCC 4.2025","SAMN05216499 ","PRJEB18367","GCA_900142575.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/142/575/GCA_900142575.1_IMG-taxon_2667527448_annotated_assembly"
270,"Streptomyces yunnanensis","CGMCC 4.3555","SAMN05216268 ","PRJEB18369","GCA_900142595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/142/595/GCA_900142595.1_IMG-taxon_2667527450_annotated_assembly"
272,"Streptomyces kebangsaanensis","SUK12","SAMN03254380 ","PRJNA269542","GCA_001906585.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/906/585/GCA_001906585.1_ASM190658v1"
273,"Streptomyces viridifaciens","DSM 40239","SAMN06016489 ","PRJNA353578","GCA_001888885.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/888/885/GCA_001888885.1_ASM188888v1"
274,"Streptomyces qinglanensis","CGMCC 4.6825","SAMN05421870 ","PRJEB17027","GCA_900111245.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/111/245/GCA_900111245.1_IMG-taxon_2675903055_annotated_assembly"
275,"Streptomyces abyssalis","SCSIO 10390","SAMN04026262 ","PRJNA242488","GCA_001751365.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/751/365/GCA_001751365.1_ASM175136v1"
277,"Streptomyces rubidus","CGMCC 4.2026","SAMN05216267 ","PRJEB16923","GCA_900110255.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/110/255/GCA_900110255.1_IMG-taxon_2671180039_annotated_assembly"
278,"Streptomyces agglomeratus","9-3-15","SAMN05631103 ","PRJNA340068","GCA_001746455.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/746/455/GCA_001746455.1_ASM174645v1"
279,"Streptomyces sampsonii","KJ40","SAMN04338613 ","PRJNA305966","GCA_001865315.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/315/GCA_001865315.1_ASM186531v1"
280,"Streptomyces sporocinereus","NBRC 100766","SAMD00040622 ","PRJDB3204","GCA_001570645.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/570/645/GCA_001570645.1_ASM157064v1"
282,"Streptomyces puniciscabiei","NRRL B-24456","SAMN04004090 ","PRJNA293375","GCA_001419685.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/419/685/GCA_001419685.1_ASM141968v1"
283,"Streptomyces griseoruber","DSM 40281","SAMN04193353 ","PRJNA299232","GCA_001514205.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/205/GCA_001514205.1_ASM151420v1"
284,"Streptomyces emeiensis","CGMCC 4.3504","SAMN05216505 ","PRJEB15726","GCA_900101585.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/585/GCA_900101585.1_IMG-taxon_2663762722_annotated_assembly"
285,"Streptomyces diastatochromogenes","ATCC 12309","SAMN04440795 ","PRJNA309834","GCA_001550305.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/550/305/GCA_001550305.1_ASM155030v1"
287,"Streptomyces pactum","ACT12","SAMN04002534 ","PRJNA293399","GCA_001414545.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/414/545/GCA_001414545.1_ASM141454v1"
289,"Streptomyces antibioticus","NRRL B-2032","SAMN02900593 ","PRJNA238534","GCA_001270635.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/270/635/GCA_001270635.1_ASM127063v1"
291,"Streptomyces europaeiscabiei","NRRL B-24443","SAMN03581172 ","PRJNA282974","GCA_000988945.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/945/GCA_000988945.1_ASM98894v1"
292,"Streptomyces rubellomurinus","ATCC 31215","SAMN03323311 ","PRJNA238534","GCA_000961885.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/961/885/GCA_000961885.1_ASM96188v1"
293,"Streptomyces pluripotens","MUSC 137","SAMN03070122 ","PRJNA261098","GCA_000816465.3 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/816/465/GCA_000816465.3_ASM81646v3"
294,"Streptacidiphilus jiangxiensis","CGMCC 4.1857","SAMN05414137 ","PRJEB16846","GCA_900109465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/109/465/GCA_900109465.1_IMG-taxon_2675903135_annotated_assembly"
295,"Streptomyces leeuwenhoekii","C34(2013)","SAMN02808814 ","PRJNA231986","GCA_000696595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/595/GCA_000696595.1_StrepLeeu1.0"
296,"Streptomyces atratus","OK807","SAMN02787144 ","PRJEB17962","GCA_900119365.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/119/365/GCA_900119365.1_IMG-taxon_2616644941_annotated_assembly"
297,"Streptacidiphilus albus","NBRC 100918","SAMD00022872 ","PRJDB3297","GCA_000787755.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/755/GCA_000787755.1_ASM78775v1"
298,"Streptomyces aureus","NRRL B-2808","SAMN04002963 ","PRJNA293375","GCA_001418135.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/135/GCA_001418135.1_ASM141813v1"
299,"Streptomyces xanthophaeus","NRRL B-3004","SAMN02645336 ","PRJNA238534","GCA_000725725.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/725/GCA_000725725.1_Doro.v1.0"
